c,d,dp,h,l,o,pc,t,currency
30200.43,294.42,0.9845,30417.46,29761.96,29906.01,29906.01,2023-07-19 13:12:43,BINANCE:BTCUSDT
30198.0,300.29,1.0044,30417.46,29761.96,29897.71,29897.71,2023-07-19 13:13:03,BINANCE:BTCUSDT
30202.0,311.99,1.0438,30417.46,29761.96,29890.01,29890.01,2023-07-19 13:14:02,BINANCE:BTCUSDT
30185.99,286.75,0.9591,30417.46,29761.96,29899.24,29899.24,2023-07-19 13:15:01,BINANCE:BTCUSDT
30183.96,299.37,1.0018,30417.46,29761.96,29884.6,29884.59,2023-07-19 13:16:01,BINANCE:BTCUSDT
30189.11,301.06,1.0073,30417.46,29761.96,29888.05,29888.05,2023-07-19 13:17:00,BINANCE:BTCUSDT
30189.99,300.68,1.006,30417.46,29761.96,29889.31,29889.31,2023-07-19 13:18:58,BINANCE:BTCUSDT
30200.95,290.94,0.9727,30417.46,29761.96,29910.0,29910.01,2023-07-19 13:20:03,BINANCE:BTCUSDT
30204.99,301.59,1.0085,30417.46,29761.96,29903.07,29903.4,2023-07-19 13:20:50,BINANCE:BTCUSDT
30205.31,299.21,1.0005,30417.46,29761.96,29906.0,29906.1,2023-07-19 13:22:02,BINANCE:BTCUSDT
30213.31,301.32,1.0074,30417.46,29761.96,29912.0,29911.99,2023-07-19 13:22:53,BINANCE:BTCUSDT
30210.14,284.33,0.9501,30417.46,29761.96,29925.81,29925.81,2023-07-19 13:24:03,BINANCE:BTCUSDT
30220.28,283.58,0.9473,30417.46,29761.96,29936.69,29936.7,2023-07-19 13:25:02,BINANCE:BTCUSDT
30216.0,271.0,0.905,30417.46,29761.96,29945.0,29945.0,2023-07-19 13:26:02,BINANCE:BTCUSDT
30227.81,294.43,0.9836,30417.46,29761.96,29933.37,29933.38,2023-07-19 13:27:01,BINANCE:BTCUSDT
30227.81,288.21,0.9626,30417.46,29761.96,29939.61,29939.6,2023-07-19 13:28:00,BINANCE:BTCUSDT
30236.7,291.7,0.9741,30417.46,29761.96,29945.0,29945.0,2023-07-19 13:28:59,BINANCE:BTCUSDT
30232.44,284.87,0.9512,30417.46,29761.96,29947.6,29947.57,2023-07-19 13:29:59,BINANCE:BTCUSDT
30264.01,245.72,0.8186,30417.46,29761.96,30018.3,30018.29,2023-07-19 13:49:22,BINANCE:BTCUSDT
30234.3,236.29,0.7877,30417.46,29761.96,29998.01,29998.01,2023-07-19 13:58:56,BINANCE:BTCUSDT
30234.3,236.29,0.7877,30417.46,29761.96,29998.01,29998.01,2023-07-19 13:58:56,BINANCE:BTCUSDT
30229.57,235.27,0.7844,30417.46,29761.96,29994.31,29994.3,2023-07-19 13:59:55,BINANCE:BTCUSDT
30216.44,189.55,0.6313,30417.46,29761.96,30026.89,30026.89,2023-07-19 14:00:54,BINANCE:BTCUSDT
